Game,Status,Platform,Emulator,IsArchipelagoTool
Return of the Obra Dinn,Unstable,PC,,false
Reventure,Stable,PC,,false
Rift of the Necrodancer,Stable,PC,,false
Rift Wizard,Stable,PC,,false
Rimworld,Unstable,PC,,false
Risk of Rain,Unstable,PC,,false
Risk of Rain 2,Official,PC,,false
Risk of Rain Returns,Stable,PC,,false
Rogue Legacy,APWorld Only,PC,,false
Rusted Moss,Stable,PC,,false
Santa Needs YOU!,Broken on Main,Built-in,,true
Satisfactory,Merged,PC,,false
Saving Princess,Official,PC,,false
Schedule I,Unstable,PC,,false
Scooby-Doo! Night of 100 Frights,In Review,PS2,PCSX2,false
Sea of Thieves,Stable,PC,,false
Secret of Evermore,Official,SNES,BizHawk,false
Secret of Mana,Unstable,SNES,BizHawk,false
Seedling,Broken on Main,Browser,,false
Sentinels of the Multiverse,Stable,PC,,false
The Settlers: Heritage of Kings,Unstable,PC,,false
Severed Soul,Unstable,PC,,false
Shadow the Hedgehog,Stable,GameCube,Dolphin,false
Shadowgate 64: Trials of the Four Towers,Unstable,N64,BizHawk,false
shapez,Official,PC,,false
shapez 2,Unstable,PC,,false
Shining in the Darkness,Unstable,Genesis,BizHawk,false
Shivers,Official,PC,,false
Shovel Knight Pocket Dungeon,Unstable,PC,,false
Signalis,Unstable,PC,,false
Silver Daze,Unstable,PC,,false
Simon Tatham's Portable Puzzle Collection,Stable,PC,,false
The Simpsons: Hit & Run,Stable,PC,,false
The Sims 4,Stable,PC,,false
Slay the Spire,APWorld Only,PC,,false
Slime Rancher,Unstable,PC,,false
Sly 2: Band of Thieves,Stable,PS2,PCSX2,false
Sly Cooper and the Thievius Raccoonus,Stable,PS2,PCSX2,false
Smushi Come Home,Unstable,PC,,false
SMZ3,Official,SNES,BizHawk,false
Sonic Advance 2,Unstable,GBA,BizHawk,false
Sonic Adventure 2 Battle,Official,PC,,false
Sonic Adventure DX,Stable,PC,,false
Sonic Battle,Unstable,GBA,BizHawk,false
Sonic Frontiers,Unstable,PC,,false
Sonic the Hedgehog,Stable,Genesis,BizHawk,false
Sonic Heroes,Stable,PC,,false
Sonic Riders,Stable,PC,,false
Sonic Robo Blast 2,Stable,PC,,false
Sonic Rush,Stable,DS,melonDS,false
SoulBlazer,Stable,SNES,BizHawk,false
Space Engineers,Unstable,PC,,false
Spelunker,Stable,NES,BizHawk,false
Spelunky 2,Unstable,PC,,false
Spinball,Stable,Genesis,BizHawk,false
Spirit Valley,Unstable,PC,,false
Spongebob Squarepants: Battle for Bikini Bottom,APWorld Only,PC,,false
Spyro 2: Ripto's Rage,Stable,PS1,DuckStation,false
Spyro 3: Year of the Dragon,Stable,PS1,DuckStation,false
Spyro the Dragon,Unstable,PS1,DuckStation,false
Stacklands,Stable,PC,,false
Star Fox 64,Stable,N64,BizHawk,false
Star Wars: Episode 1 Racer,Unstable,N64,BizHawk,false
Starcraft 2,Official,PC,,false
Stardew Valley,Official,PC,,false
Stick Ranger,In Review,Browser,,false
Streets of Rage,Unstable,Genesis,BizHawk,false
Subnautica,Official,PC,,false
Super Adventure Island II,Unstable,SNES,BizHawk,false
Super Cat Planet,Stable,PC,,false
Super Chipflake Ü: Quest for the Uncooked Schnitzel,Unstable,PC,,false
Super Junkoid,Stable,SNES,BizHawk,false
Super Mario 64,Official,N64,BizHawk,false
Super Mario Land 2: 6 Golden Coins,Official,GB,BizHawk,false
Super Mario RPG,Unstable,SNES,BizHawk,false
Super Mario Sunshine,Unstable,GameCube,Dolphin,false
Super Mario Sunshine Arcade 2,Unstable,PC,,false
Super Mario World,Official,SNES,BizHawk,false
Super Mario World: Spicy Mycena Waffles,APWorld Only,SNES,BizHawk,false
Super Metroid,Official,SNES,BizHawk,false
Super Metroid Map Rando,Unstable,SNES,BizHawk,false
Super Smash Bros. Melee,Stable,GameCube,Dolphin,false
Supraland,Unstable,PC,,false
System Shock 2,Stable,PC,,false
TCG Card Shop Simulator,Stable,PC,,false
Terraria,Official,PC,,false
Tetris Attack,Stable,SNES,BizHawk,false
Tevi,Stable,PC,,false
Timespinner,Official,PC,,false
Toejam & Earl,Stable,Genesis,BizHawk,false
TOEM: A Photo Adventure,Stable,PC,,false
Total War: Warhammer III,Unstable,PC,,false
Total War: Warhammer III Alternative,Unstable,PC,,false
Totally Accurate Battle Simulator (TABS),Unstable,PC,,false
Touhou Eiyashou ~ Imperishable Night,Unstable,PC,,false
Touhou Koumakyou: The Embodiment of Scarlet Devil,APWorld Only,PC,,false
Touhou Youyoumu ~ Perfect Cherry Blossom,Stable,PC,,false
Trackmania,In Review,PC,,false
TUNIC,Official,PC,,false
Turnip Boy Commits Tax Evasion,Stable,PC,,false
Twisty Cube,Unstable,Built-in,,true
Ty The Tasmanian Tiger 2,Unstable,PC,,false
Ty the Tasmanian Tiger 3,Unstable,PC,,false
Ty The Tasmanian Tiger HD Remaster (PC),Stable,PC,,false
Tyrian / Tyrian 2000,Stable,PC,,false
UFO 50,APWorld Only,PC,,false
ULTRAKILL,Stable,PC,,false
UNBEATABLE,Unstable,PC,,false
Undertale,Official,PC,,false
Unfair Flips,Stable,Built-in,,true
Untitled Goose Game,Unstable,PC,,false
Vacation Simulator,Unstable,PC (VR),,false
Valheim,Unstable,PC,,false
Vampire Survivors,Stable,PC,,false
Vespadian,Unstable,PC,,false
Vintage Story,Unstable,PC,,false
Void Sols,Index Only,PC,,false
Void Stranger,Unstable,PC,,false
Voltorb Flip (from Pokémon HG & SS),Unstable,Built-in,,true
VVVVVV,Official,PC,,false
Wargroove,Official,PC,,false
Wargroove 2,In Review,PC,,false
Wario Land: Super Mario Land 3,Stable,GB,BizHawk,false
Wario Land 4,In Review,GBA,BizHawk,false
Watery Words,Stable,Built-in,,true
WEBFISHING,Unstable,PC,,false
West of Loathing,Unstable,PC,,false
The Witness,Official,PC,,false
Word Search,Unstable,Built-in,,true
Wordipelago,Stable,Built-in,,true
XCOM 2: War of the Chosen,Stable,PC,,false
Xenoblade Chronicles X,Unstable,Wii U,Cemu,false
Yacht Dice,Official,Built-in,,true
Yacht Dice Bliss,Index Only,Built-in,,true
Yet Another Rhythm Game (YARG),Unstable,PC,,false
Yoku's Island Express,Unstable,PC,,false
Yooka-Laylee,Stable,PC,,false
Yoshi's Island,Official,SNES,BizHawk,false
Yu-Gi-Oh! 2006,Official,GBA,BizHawk,false
Yu-Gi-Oh! Dungeon Dice Monsters,Stable,GBA,BizHawk,false
Yu-Gi-Oh! Forbidden Memories,Stable,PS1,DuckStation,false
Yu-Gi-Oh! GX - Duel Academy (GBA),Unstable,GBA,BizHawk,false
Zelda 2: The Adventure of Link,Stable,NES,BizHawk,false
The Legend of Zelda: A Link Between Worlds,Stable,3DS,Citra,false
The Legend of Zelda: A Link to the Past,Official,SNES,BizHawk,false
The Legend of Zelda: Link's Awakening DX,Official,GBC,BizHawk,false
The Legend of Zelda: Link's Awakening DX Beta,Index Only,GBC,BizHawk,false
The Legend of Zelda: Majora's Mask,Stable,N64,BizHawk,false
The Legend of Zelda: The Minish Cap,Stable,GBA,BizHawk,false
The Legend of Zelda: Ocarina of Time,Official,N64,BizHawk,false
The Legend of Zelda: Ocarina of Time - Ship of Harkinian,Stable,PC,,false
The Legend of Zelda: Oracle of Ages,Unstable,GBC,BizHawk,false
The Legend of Zelda: Oracle of Seasons,Stable,GBC,BizHawk,false
The Legend of Zelda: Phantom Hourglass,Stable,DS,melonDS,false
The Legend of Zelda: Skyward Sword,Stable,Wii,Dolphin,false
The Legend of Zelda: Spirit Tracks,Unstable,DS,melonDS,false
The Legend of Zelda: Twilight Princess,Stable,Wii,Dolphin,false
The Legend of Zelda: The Wind Waker,Official,GameCube,Dolphin,false
Zillion,Official,Master System,BizHawk,false
Zork: Grand Inquisitor,APWorld Only,PC,,false
